power[%]   angle[deg]
0                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      1
-75                      1
-75                      1
-75                      2
-75                      2
-75                      3
-75                      3
-75                      4
-75                      4
-75                      5
-75                      6
-75                      6
-75                      7
-75                      8
-75                      9
-75                      9
-75                      10
-75                      11
-75                      12
-75                      13
-75                      13
-75                      14
-75                      15
-75                      16
-75                      17
-75                      18
-75                      19
-75                      20
-75                      21
-75                      22
-75                      23
-75                      24
-75                      25
-75                      26
-75                      27
-75                      28
-75                      29
-75                      30
-75                      31
-75                      33
-75                      34
-75                      35
-75                      36
-75                      37
-75                      38
-75                      39
-75                      40
-75                      42
-75                      43
-75                      44
-75                      45
-75                      46
-75                      47
-75                      48
-75                      50
-75                      51
-75                      52
-75                      53
-75                      54
-75                      56
-75                      57
-75                      58
-75                      59
-75                      61
-75                      62
-75                      63
-75                      64
-75                      66
-75                      67
-75                      68
-75                      69
-75                      71
-75                      72
-75                      73
-75                      74
-75                      76
-75                      77
-75                      78
-75                      79
-75                      81
-75                      82
-75                      83
-75                      85
-75                      86
-75                      87
-75                      88
-75                      90
-75                      91
-75                      92
-75                      94
-75                      95
-75                      96
-75                      98
-75                      99
-75                      100
-75                      102
-75                      103
-75                      104
-75                      106
-75                      107
-75                      108
-75                      109
-75                      111
-75                      112
-75                      114
-75                      115
-75                      116
-75                      118
-75                      119
-75                      120
-75                      122
-75                      123
-75                      124
-75                      126
-75                      127
-75                      128
-75                      130
-75                      131
-75                      132
-75                      134
-75                      135
-75                      136
-75                      138
-75                      139
-75                      141
-75                      142
-75                      143
-75                      145
-75                      146
-75                      147
-75                      149
-75                      150
-75                      151
-75                      153
-75                      154
-75                      156
-75                      157
-75                      158
-75                      160
-75                      161
-75                      163
-75                      164
-75                      165
-75                      167
-75                      168
-75                      170
-75                      171
-75                      173
-75                      174
-75                      176
-75                      177
-75                      178
-75                      180
-75                      181
-75                      183
-75                      184
-75                      186
-75                      187
-75                      189
-75                      190
-75                      192
-75                      193
-75                      195
-75                      196
-75                      198
-75                      199
-75                      201
-75                      202
-75                      204
-75                      205
-75                      207
-75                      208
-75                      210
-75                      211
-75                      213
-75                      214
-75                      216
-75                      217
-75                      219
-75                      220
-75                      222
-75                      224
-75                      225
-75                      227
-75                      228
-75                      230
-75                      232
-75                      233
-75                      235
-75                      236
-75                      238
-75                      239
-75                      241
-75                      243
-75                      244
-75                      246
-75                      247
-75                      249
-75                      250
-75                      252
-75                      253
-75                      255
-75                      256
-75                      258
-75                      260
-75                      261
-75                      263
-75                      264
-75                      266
-75                      267
-75                      269
-75                      270
-75                      272
-75                      273
-75                      275
-75                      276
-75                      278
-75                      280
-75                      281
-75                      283
-75                      284
-75                      286
-75                      287
-75                      289
-75                      290
-75                      292
-75                      293
-75                      295
-75                      297
-75                      298
-75                      300
-75                      301
-75                      303
-75                      304
-75                      306
-75                      308
-75                      309
0                      311
0                      312
0                      314
0                      315
0                      316
0                      318
0                      319
0                      320
0                      321
0                      322
0                      323
0                      323
0                      324
0                      325
0                      325
0                      326
0                      326
0                      327
0                      327
0                      328
0                      328
0                      328
0                      328
0                      328
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
0                      329
