power[%]   angle[deg]
0                      0
100                      0
100                      0
100                      0
100                      0
100                      0
100                      0
100                      0
100                      0
100                      -1
100                      -1
100                      -2
100                      -2
100                      -3
100                      -3
100                      -4
100                      -4
100                      -5
100                      -6
100                      -7
100                      -8
100                      -9
100                      -10
100                      -10
100                      -12
100                      -13
100                      -14
100                      -15
100                      -16
100                      -17
100                      -18
100                      -20
100                      -21
100                      -22
100                      -24
100                      -25
100                      -26
100                      -28
100                      -29
100                      -31
100                      -32
100                      -34
100                      -35
100                      -37
100                      -38
100                      -40
100                      -42
100                      -43
100                      -45
100                      -47
100                      -48
100                      -50
100                      -52
100                      -54
100                      -55
100                      -57
100                      -59
100                      -61
100                      -63
100                      -65
100                      -67
100                      -69
100                      -71
100                      -73
100                      -75
100                      -77
100                      -79
100                      -81
100                      -83
100                      -85
100                      -87
100                      -89
100                      -91
100                      -93
100                      -95
100                      -97
100                      -100
100                      -102
100                      -104
100                      -106
100                      -108
100                      -111
100                      -113
100                      -115
100                      -118
100                      -120
100                      -122
100                      -125
100                      -127
100                      -129
100                      -132
100                      -134
100                      -136
100                      -139
100                      -141
100                      -144
100                      -146
100                      -148
100                      -151
100                      -153
100                      -156
100                      -158
100                      -161
100                      -163
100                      -165
100                      -168
100                      -170
100                      -173
100                      -175
100                      -178
100                      -180
100                      -183
100                      -185
100                      -188
100                      -190
100                      -193
100                      -195
100                      -198
100                      -201
100                      -203
100                      -206
100                      -208
100                      -211
100                      -214
100                      -216
100                      -219
100                      -222
100                      -225
100                      -227
100                      -230
100                      -233
100                      -236
100                      -238
100                      -241
100                      -244
100                      -246
100                      -249
100                      -252
100                      -255
100                      -258
100                      -260
100                      -263
100                      -266
100                      -269
100                      -272
100                      -274
100                      -277
100                      -280
100                      -283
100                      -286
100                      -289
100                      -292
100                      -294
100                      -297
100                      -300
100                      -303
100                      -306
100                      -309
100                      -312
100                      -315
100                      -318
100                      -321
100                      -324
100                      -327
100                      -330
100                      -333
100                      -336
100                      -338
100                      -341
100                      -344
100                      -347
100                      -350
100                      -353
100                      -356
100                      -359
100                      -362
100                      -365
100                      -368
100                      -371
100                      -374
100                      -377
100                      -380
100                      -382
100                      -386
100                      -388
100                      -391
100                      -394
100                      -397
100                      -400
100                      -403
100                      -406
100                      -409
100                      -412
100                      -415
100                      -418
100                      -421
100                      -424
100                      -427
100                      -430
100                      -433
100                      -436
100                      -439
100                      -442
100                      -445
100                      -448
100                      -451
100                      -454
100                      -457
100                      -460
0                      -463
0                      -465
0                      -468
0                      -471
0                      -474
0                      -476
0                      -478
0                      -481
0                      -483
0                      -485
0                      -487
0                      -489
0                      -491
0                      -492
0                      -494
0                      -495
0                      -497
0                      -498
0                      -500
0                      -501
0                      -502
0                      -503
0                      -505
0                      -505
0                      -506
0                      -507
0                      -508
0                      -509
0                      -510
0                      -510
0                      -511
0                      -511
0                      -512
0                      -512
0                      -513
0                      -513
0                      -513
0                      -514
0                      -514
0                      -514
0                      -514
0                      -514
0                      -514
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
0                      -515
