power[%]   angle[deg]
0                      0
100                      0
100                      0
100                      0
100                      0
100                      0
100                      0
100                      0
100                      -1
100                      -1
100                      -2
100                      -3
100                      -3
100                      -4
100                      -5
100                      -6
100                      -7
100                      -8
100                      -9
100                      -10
100                      -12
100                      -13
100                      -14
100                      -16
100                      -17
100                      -19
100                      -20
100                      -22
100                      -24
100                      -25
100                      -27
100                      -29
100                      -31
100                      -33
100                      -34
100                      -36
100                      -38
100                      -40
100                      -42
100                      -44
100                      -47
100                      -49
100                      -51
100                      -53
100                      -55
100                      -58
100                      -60
100                      -62
100                      -65
100                      -67
100                      -70
100                      -72
100                      -75
100                      -77
100                      -80
100                      -82
100                      -85
100                      -88
100                      -91
100                      -94
100                      -96
100                      -99
100                      -102
100                      -105
100                      -108
100                      -111
100                      -114
100                      -117
100                      -120
100                      -123
100                      -126
100                      -129
100                      -133
100                      -136
100                      -139
100                      -142
100                      -145
100                      -149
100                      -152
100                      -155
100                      -158
100                      -162
100                      -165
100                      -168
100                      -171
100                      -175
100                      -178
100                      -181
100                      -185
100                      -188
100                      -192
100                      -195
100                      -198
100                      -202
100                      -205
100                      -209
100                      -212
100                      -216
100                      -219
100                      -222
100                      -226
100                      -229
100                      -233
100                      -236
100                      -240
100                      -243
100                      -247
100                      -250
100                      -254
100                      -257
100                      -261
100                      -264
100                      -268
100                      -272
100                      -275
100                      -279
100                      -282
100                      -286
100                      -289
100                      -293
100                      -296
100                      -300
100                      -303
100                      -307
100                      -310
100                      -314
100                      -317
100                      -321
100                      -324
100                      -328
100                      -331
100                      -335
100                      -338
100                      -342
100                      -345
100                      -349
100                      -352
100                      -356
100                      -359
100                      -363
100                      -366
100                      -370
100                      -373
100                      -376
100                      -380
100                      -383
100                      -387
100                      -390
100                      -394
100                      -397
100                      -401
100                      -404
100                      -407
100                      -411
100                      -414
100                      -418
100                      -421
100                      -424
100                      -428
100                      -431
100                      -435
100                      -438
100                      -441
100                      -445
100                      -448
100                      -451
100                      -455
100                      -458
100                      -462
100                      -465
100                      -468
100                      -472
100                      -475
100                      -478
100                      -482
100                      -485
100                      -489
100                      -492
100                      -495
100                      -499
100                      -502
100                      -505
100                      -508
100                      -512
100                      -515
100                      -518
100                      -522
100                      -525
100                      -528
100                      -532
100                      -535
100                      -538
100                      -541
100                      -545
100                      -548
100                      -551
100                      -555
100                      -558
100                      -561
100                      -564
100                      -568
100                      -571
100                      -574
100                      -577
100                      -581
100                      -584
100                      -587
100                      -590
100                      -594
0                      -597
0                      -600
0                      -603
0                      -606
0                      -609
0                      -612
0                      -615
0                      -617
0                      -619
0                      -622
0                      -624
0                      -626
0                      -628
0                      -630
0                      -632
0                      -634
0                      -636
0                      -638
0                      -639
0                      -641
0                      -642
0                      -643
0                      -645
0                      -646
0                      -647
0                      -648
0                      -649
0                      -649
0                      -650
0                      -651
0                      -652
0                      -652
0                      -653
0                      -653
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
0                      -654
