power[%]   angle[deg]
0                0
-100                0
-100                0
-100                359
-100                359
-100                358
-100                358
-100                356
-100                355
-100                353
-100                352
-100                349
-100                348
-100                345
-100                344
-100                340
-100                338
-100                334
-100                333
-100                328
-100                326
-100                321
-100                319
-100                314
-100                312
-100                306
-100                304
-100                298
-100                296
-100                289
-100                287
-100                280
-100                278
-100                271
-100                269
-100                261
-100                259
-100                251
-100                249
-100                241
-100                238
-100                230
-100                228
-100                219
-100                216
-100                208
-100                205
-100                196
-100                194
-100                185
-100                182
-100                173
-100                170
-100                161
-100                157
-100                148
-100                145
-100                135
-100                132
-100                123
-100                119
-100                110
-100                106
-100                97
-100                93
-100                83
-100                80
-100                70
-100                67
-100                57
-100                53
-100                43
-100                40
-100                29
-100                26
-100                16
-100                12
-100                2
-100                358
-100                348
-100                344
-100                333
-100                330
-100                319
-100                316
-100                305
-100                301
-100                290
-100                287
-100                276
-100                272
-100                261
-100                257
-100                246
-100                242
-100                231
-100                228
-100                216
-100                213
-100                201
-100                198
-100                186
-100                183
-100                171
-100                167
-100                156
-100                152
-100                141
-100                137
-100                126
-100                122
-100                110
-100                106
-100                95
-100                91
0                79
0                57
0                54
0                45
0                42
0                33
0                30
0                22
0                19
0                12
0                10
0                3
0                1
0                355
0                353
0                348
0                346
0                341
0                340
0                336
0                334
0                331
0                329
0                326
0                325
0                322
0                321
0                319
0                318
0                316
0                316
0                314
0                314
0                312
0                312
0                311
0                310
0                309
0                309
0                308
0                308
0                307
0                307
0                307
0                307
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
0                306
