power[%]   angle[deg]
0                0
50                0
50                0
50                0
50                0
50                0
50                0
50                0
50                0
50                0
50                0
50                0
50                1
50                1
50                1
50                1
50                2
50                2
50                2
50                3
50                3
50                4
50                4
50                4
50                5
50                5
50                6
50                6
50                7
50                7
50                8
50                9
50                9
50                10
50                10
50                11
50                11
50                12
50                13
50                13
50                14
50                15
50                15
50                16
50                17
50                17
50                18
50                19
50                19
50                20
50                21
50                21
50                22
50                23
50                23
50                24
50                25
50                25
50                26
50                27
50                28
50                28
50                29
50                30
50                30
50                31
50                32
50                32
50                33
50                34
50                35
50                35
50                36
50                37
50                37
50                38
50                39
50                39
50                40
50                41
50                42
50                42
50                43
50                44
50                44
50                45
50                46
50                47
50                47
50                48
50                49
50                49
50                50
50                51
50                52
50                52
50                53
50                54
50                54
50                55
50                56
0                57
0                57
0                58
0                59
0                59
0                60
0                61
0                61
0                62
0                62
0                63
0                63
0                64
0                64
0                65
0                65
0                65
0                66
0                66
0                67
0                67
0                67
0                67
0                68
0                68
0                68
0                68
0                69
0                69
0                69
0                69
0                69
0                69
0                69
0                70
0                70
0                70
0                70
0                70
0                70
0                70
0                70
0                70
0                70
0                70
0                70
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
0                71
-50                71
-50                71
-50                71
-50                71
-50                71
-50                71
-50                71
-50                71
-50                71
-50                70
-50                70
-50                70
-50                70
-50                69
-50                69
-50                69
-50                68
-50                68
-50                68
-50                67
-50                67
-50                66
-50                66
-50                65
-50                65
-50                64
-50                64
-50                63
-50                63
-50                62
-50                62
-50                61
-50                60
-50                60
-50                59
-50                59
-50                58
-50                57
-50                57
-50                56
-50                55
-50                55
-50                54
-50                53
-50                53
-50                52
-50                51
-50                51
-50                50
-50                49
-50                49
-50                48
-50                47
-50                46
-50                46
-50                45
-50                44
-50                44
-50                43
-50                42
-50                41
-50                41
-50                40
-50                39
-50                39
-50                38
-50                37
-50                36
-50                36
-50                35
-50                34
-50                34
-50                33
-50                32
-50                31
-50                31
-50                30
-50                29
-50                29
-50                28
-50                27
-50                26
-50                26
-50                25
-50                24
-50                24
-50                23
-50                22
-50                22
-50                21
-50                20
-50                19
-50                19
-50                18
-50                17
-50                17
-50                16
-50                15
-50                14
-50                14
0                13
0                12
0                12
0                11
0                10
0                10
0                9
0                8
0                8
0                7
0                7
0                6
0                6
0                5
0                5
0                4
0                4
0                4
0                3
0                3
0                3
0                2
0                2
0                2
0                2
0                1
0                1
0                1
0                1
0                1
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                -1
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
0                0
