power[%]   angle[deg]
0                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       0
-40                       -1
-40                       -1
-40                       -1
-40                       -1
-40                       -1
-40                       -2
-40                       -2
-40                       -2
-40                       -3
-40                       -3
-40                       -3
-40                       -4
-40                       -4
-40                       -4
-40                       -5
-40                       -5
-40                       -5
-40                       -6
-40                       -6
-40                       -7
-40                       -7
-40                       -7
-40                       -8
-40                       -8
-40                       -9
-40                       -9
-40                       -9
-40                       -10
-40                       -10
-40                       -11
-40                       -11
-40                       -12
-40                       -12
-40                       -13
-40                       -13
-40                       -14
-40                       -14
-40                       -14
-40                       -15
-40                       -15
-40                       -16
-40                       -16
-40                       -17
-40                       -17
-40                       -18
-40                       -18
-40                       -19
-40                       -19
-40                       -20
-40                       -20
-40                       -21
-40                       -21
-40                       -22
-40                       -22
-40                       -23
-40                       -23
-40                       -24
-40                       -24
-40                       -24
-40                       -25
-40                       -25
-40                       -26
-40                       -26
-40                       -27
-40                       -27
-40                       -28
-40                       -28
-40                       -29
-40                       -29
-40                       -30
-40                       -30
-40                       -31
-40                       -31
-40                       -32
-40                       -32
-40                       -33
-40                       -33
-40                       -34
-40                       -34
-40                       -35
-40                       -35
-40                       -36
-40                       -36
-40                       -37
-40                       -37
-40                       -38
-40                       -38
0                       -39
0                       -39
0                       -40
0                       -40
0                       -40
0                       -41
0                       -41
0                       -42
0                       -42
0                       -42
0                       -43
0                       -43
0                       -44
0                       -44
0                       -44
0                       -44
0                       -45
0                       -45
0                       -45
0                       -45
0                       -46
0                       -46
0                       -46
0                       -46
0                       -46
0                       -46
0                       -47
0                       -47
0                       -47
0                       -47
0                       -47
0                       -47
0                       -47
0                       -47
0                       -47
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -48
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
0                       -49
40                       -49
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -48
40                       -47
40                       -47
40                       -47
40                       -47
40                       -46
40                       -46
40                       -46
40                       -46
40                       -45
40                       -45
40                       -45
40                       -44
40                       -44
40                       -43
40                       -43
40                       -43
40                       -42
40                       -42
40                       -41
40                       -41
40                       -41
40                       -40
40                       -40
40                       -39
40                       -39
40                       -38
40                       -38
40                       -37
40                       -37
40                       -37
40                       -36
40                       -36
40                       -35
40                       -35
40                       -34
40                       -34
40                       -33
40                       -33
40                       -32
40                       -32
40                       -31
40                       -31
40                       -30
40                       -30
40                       -29
40                       -29
40                       -28
40                       -28
40                       -27
40                       -27
40                       -26
40                       -26
40                       -25
40                       -25
40                       -24
40                       -24
40                       -23
40                       -23
40                       -23
40                       -22
40                       -22
40                       -21
40                       -21
40                       -20
40                       -20
40                       -19
40                       -19
40                       -18
40                       -18
40                       -17
40                       -17
40                       -16
40                       -16
40                       -15
40                       -15
40                       -14
40                       -14
40                       -13
40                       -13
40                       -12
40                       -12
40                       -11
40                       -11
40                       -10
40                       -10
40                       -9
40                       -9
0                       -8
0                       -8
0                       -7
0                       -7
0                       -6
0                       -6
0                       -6
0                       -5
0                       -5
0                       -4
0                       -4
0                       -4
0                       -3
0                       -3
0                       -3
0                       -2
0                       -2
0                       -2
0                       -2
0                       -1
0                       -1
0                       -1
0                       -1
0                       -1
0                       -1
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       1
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
0                       0
