power[%]   angle[deg]
0            0
-100            0
-100            0
-100            0
-100            359
-100            359
-100            359
-100            359
-100            359
-100            358
-100            358
-100            357
-100            357
-100            357
-100            356
-100            356
-100            355
-100            355
-100            354
-100            353
-100            353
-100            352
-100            351
-100            351
-100            350
-100            349
-100            348
-100            348
-100            347
-100            346
-100            345
-100            344
-100            343
-100            342
-100            342
-100            341
-100            340
-100            339
-100            338
-100            337
-100            336
-100            334
-100            333
-100            332
-100            330
-100            329
-100            328
-100            327
-100            326
-100            325
-100            324
-100            323
-100            321
-100            320
-100            319
-100            318
-100            317
-100            315
-100            314
-100            313
-100            311
-100            310
-100            309
-100            308
-100            306
-100            305
-100            303
-100            302
-100            301
-100            299
-100            298
-100            296
-100            295
-100            294
-100            292
-100            291
-100            289
-100            288
-100            286
-100            285
-100            283
-100            282
-100            281
-100            279
-100            278
-100            276
-100            275
-100            273
-100            272
-100            270
-100            268
-100            267
-100            265
-100            264
-100            262
-100            261
-100            259
-100            258
-100            256
-100            255
-100            253
-100            251
-100            250
-100            248
-100            247
-100            245
-100            244
-100            242
-100            240
-100            239
-100            237
-100            236
-100            234
-100            232
-100            231
-100            229
-100            228
-100            226
-100            224
-100            223
-100            221
-100            219
-100            218
-100            216
-100            214
-100            213
-100            211
-100            209
-100            208
-100            206
-100            204
-100            202
-100            201
-100            199
-100            197
-100            195
-100            194
-100            192
-100            190
-100            188
-100            186
-100            185
-100            183
-100            181
-100            179
-100            177
-100            176
-100            174
-100            172
-100            170
-100            168
-100            166
-100            164
-100            163
-100            161
-100            159
-100            157
-100            155
-100            153
-100            152
-100            150
-100            148
-100            146
-100            144
-100            142
-100            140
-100            138
-100            137
-100            135
-100            133
-100            131
-100            129
-100            127
-100            125
-100            124
-100            122
-100            120
-100            118
-100            116
-100            114
-100            112
-100            110
-100            108
-100            106
-100            104
-100            102
-100            100
-100            99
-100            97
-100            95
-100            93
-100            91
-100            89
-100            87
-100            85
-100            83
-100            81
-100            79
-100            77
-100            75
-100            73
-100            71
-100            69
-100            67
-100            65
-100            63
-100            61
-100            59
-100            57
-100            55
-100            53
-100            51
-100            49
-100            47
-100            45
-100            44
-100            42
-100            40
-100            38
-100            36
-100            34
-100            32
-100            30
-100            28
-100            26
-100            24
-100            22
-100            20
-100            18
-100            16
-100            14
-100            12
-100            10
-100            8
-100            6
-100            4
-100            2
-100            0
-100            358
-100            357
-100            355
-100            353
-100            351
-100            349
-100            347
-100            345
-100            343
-100            341
-100            339
-100            338
-100            336
-100            334
-100            332
-100            330
-100            328
-100            326
-100            324
-100            323
-100            321
-100            319
-100            317
-100            315
-100            313
-100            311
-100            310
-100            308
-100            306
-100            304
-100            302
-100            300
-100            298
-100            297
-100            295
-100            293
-100            291
-100            289
-100            287
-100            286
-100            284
-100            282
-100            280
-100            278
-100            276
0            275
0            273
0            271
0            270
0            268
0            266
0            265
0            264
0            262
0            261
0            260
0            259
0            258
0            257
0            256
0            255
0            254
0            253
0            252
0            252
0            251
0            250
0            250
0            249
0            249
0            248
0            248
0            247
0            247
0            246
0            246
0            246
0            245
0            245
0            245
0            244
0            244
0            244
0            244
0            244
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
0            243
